German	IPA	Vietnamese	Example	Translation
die Halbleiterindustrie	[ˈhalplaɪtɐɪndʊstʁiː]	Công nghiệp bán dẫn	Số ít: [Warum ist die Halbleiterindustrie so wichtig?] [vaˈʁʊm ɪst diː ˈhalplaɪtɐɪndʊstʁiː zoː ˈvɪçtɪç] – [Die Halbleiterindustrie liefert Chips für fast alle Elektronikgeräte.] [diː ˈhalplaɪtɐɪndʊstʁiː ˈliːfɐt tʃɪps fyːɐ fast ˈalə elɛkˈtʁoːnɪkɡəˌʁɛːtə] \nSố nhiều: [Welche Halbleiterindustrien investieren in neue Werke?] [ˈvɛlçə ˈhalplaɪtɐɪndʊstʁiən ɪnvɛsˈtiːʁən ɪn ˈnɔʏə ˈvɛʁkə] – [Die US‑amerikanische und die europäische Halbleiterindustrie investieren stark.] [diː uːɛs aˈmeːʁikaːnɪʃə ʊnt diː ɔʏʁoˈpɛːɪʃə ˈhalplaɪtɐɪndʊstʁiː ɪnvɛsˈtiːʁən ʃtaʁk]	Số ít: "Tại sao công nghiệp bán dẫn lại quan trọng như vậy?" – "Công nghiệp bán dẫn cung cấp chip cho hầu hết các thiết bị điện tử." \nSố nhiều: "Những ngành công nghiệp bán dẫn nào đang đầu tư vào nhà máy mới?" – "Ngành công nghiệp bán dẫn Mỹ và châu Âu đang đầu tư mạnh."
die Batteriefertigung	[batəˈʁiːˌfɛʁtɪɡʊŋ]	Sản xuất pin	Số ít: [Wo findet die Batteriefertigung statt?] [voː ˈfɪndət diː batəˈʁiːˌfɛʁtɪɡʊŋ ʃtat] – [Die Batteriefertigung findet in der neuen Gigafactory statt.] [diː batəˈʁiːˌfɛʁtɪɡʊŋ ˈfɪndət ɪn deːɐ ˈnɔʏən ˈɡiːɡaˌfæktəʁi ʃtat] \nSố nhiều: [Welche Batteriefertigungen werden ausgebaut?] [ˈvɛlçə batəˈʁiːˌfɛʁtɪɡʊŋən ˈvɛʁdən ˈaʊsɡəbaʊt] – [Die Lithium‑Ionen‑Batteriefertigungen werden ausgebaut.] [diː ˈliːtiʊm ˈiːoːnən batəˈʁiːˌfɛʁtɪɡʊŋən ˈvɛʁdən ˈaʊsɡəbaʊt]	Số ít: "Việc sản xuất pin diễn ra ở đâu?" – "Sản xuất pin diễn ra trong nhà máy Gigafactory mới." \nSố nhiều: "Những cơ sở sản xuất pin nào đang được mở rộng?" – "Các cơ sở sản xuất pin lithium‑ion đang được mở rộng."
die Energiewirtschaft	[enɛʁˈɡiːˌvɪʁtʃaft]	Kinh tế năng lượng	Số ít: [Steht die Energiewirtschaft vor einem Umbruch?] [ʃteːt diː enɛʁˈɡiːˌvɪʁtʃaft foːɐ ˈaɪnəm ˈʊmbʁʊx] – [Ja, die Energiewirtschaft wandelt sich durch erneuerbare Energien.] [jaː diː enɛʁˈɡiːˌvɪʁtʃaft ˈvandəlt zɪç dʊʁç ɛɐˈnɔʏɐbaːʁə enɛʁˈɡiːən] \nSố nhiều: [Welche Energiewirtschaften setzen auf Wasserstoff?] [ˈvɛlçə enɛʁˈɡiːˌvɪʁtʃaftən ˈzɛtsən aʊf ˈvasɐʃtɔf] – [Viele europäische Energiewirtschaften setzen auf grünen Wasserstoff.] [ˈfiːlə ɔʏʁoˈpɛːɪʃə enɛʁˈɡiːˌvɪʁtʃaftən ˈzɛtsən aʊf ˈɡʁyːnən ˈvasɐʃtɔf]	Số ít: "Nền kinh tế năng lượng có đang đứng trước biến chuyển không?" – "Có, nền kinh tế năng lượng đang biến đổi nhờ năng lượng tái tạo." \nSố nhiều: "Những nền kinh tế năng lượng nào đang tập trung vào hydro?" – "Nhiều nền kinh tế năng lượng châu Âu đang tập trung vào hydro xanh."
die Energieindustrie	[enɛʁˈɡiːɪndʊstʁiː]	Công nghiệp năng lượng	Số ít: [Wer dominiert die Energieindustrie?] [veːɐ domiˈniːɐt diː enɛʁˈɡiːɪndʊstʁiː] – [Große Konzerne und zunehmend auch Stadtwerke dominieren die Energieindustrie.] [ˈɡʁoːsə kɔnˈtsɛʁnə ʊnt ˈtsuːneːmənt aʊx ˈʃtatvɛʁkə domiˈniːɐt diː enɛʁˈɡiːɪndʊstʁiː] \nSố nhiều: [Welche Energieindustrien sind im Wandel?] [ˈvɛlçə enɛʁˈɡiːɪndʊstʁiən zɪnt ɪm ˈvandəl] – [Die Kohle‑ und die Atomenergieindustrien sind im Wandel.] [diː ˈkoːlə ʊnt diː aˈtoːmɛnɛʁɡiːɪndʊstʁiən zɪnt ɪm ˈvandəl]	Số ít: "Ai chi phối ngành công nghiệp năng lượng?" – "Các tập đoàn lớn và ngày càng nhiều công ty cấp thành phố chi phối ngành công nghiệp năng lượng." \nSố nhiều: "Những ngành công nghiệp năng lượng nào đang trong quá trình chuyển đổi?" – "Các ngành than đá và điện hạt nhân đang trong quá trình chuyển đổi."
das Kraftwerk	[ˈkʁaftvɛʁk]	Nhà máy điện	Số ít: [Welche Art von Kraftwerk steht dort?] [ˈvɛlçə aːɐt fɔn ˈkʁaftvɛʁk ʃteːt dɔʁt] – [Dort steht ein Gaskraftwerk.] [dɔʁt ʃteːt aɪn ˈɡaːskʁaftvɛʁk] \nSố nhiều: [Welche Kraftwerke liefern den Grundlaststrom?] [ˈvɛlçə ˈkʁaftvɛʁkə ˈliːfɐn deːn ˈɡʁʊntlastˌʃtʁoːm] – [Kern‑ und Kohlekraftwerke liefern den Grundlaststrom.] [kɛʁn ʊnt ˈkoːləkʁaftvɛʁkə ˈliːfɐn deːn ˈɡʁʊntlastˌʃtʁoːm]	Số ít: "Ở đó có loại nhà máy điện nào?" – "Ở đó có một nhà máy điện khí." \nSố nhiều: "Những nhà máy điện nào cung cấp điện nền?" – "Nhà máy điện hạt nhân và nhiệt điện than cung cấp điện nền."
die Stromerzeugung	[ˈʃtʁoːmɛɐˌtsɔʏɡʊŋ]	Sản xuất điện	Số ít: [Aus welchen Quellen stammt die Stromerzeugung?] [aʊs ˈvɛlçən ˈkvɛlən ʃtamt diː ˈʃtʁoːmɛɐˌtsɔʏɡʊŋ] – [Die Stromerzeugung stammt zu 40 % aus Erneuerbaren.] [diː ˈʃtʁoːmɛɐˌtsɔʏɡʊŋ ʃtamt tsuː ˈfɪʁtsɪç pʁoˈtsɛnt aʊs ɛɐˈnɔʏɐbaːʁən] \nSố nhiều: [Welche Stromerzeugungen sind CO₂‑frei?] [ˈvɛlçə ˈʃtʁoːmɛɐˌtsɔʏɡʊŋən zɪnt tseːoːˈtsvaɪ ˌfʁaɪ] – [Wind‑ und Solarstromerzeugungen sind CO₂‑frei.] [ˈvɪnt ʊnt zoˈlaːɐʃtʁoːmɛɐˌtsɔʏɡʊŋən zɪnt tseːoːˈtsvaɪ ˌfʁaɪ]	Số ít: "Sản xuất điện đến từ những nguồn nào?" – "Sản xuất điện đến 40% từ năng lượng tái tạo." \nSố nhiều: "Những hình thức sản xuất điện nào không thải CO₂?" – "Sản xuất điện gió và mặt trời không thải CO₂."
die erneuerbaren Energien	[ɛɐˈnɔʏɐbaːʁən enɛʁˈɡiːən]	Năng lượng tái tạo (số nhiều)	Số ít (die erneuerbare Energie): [Wird die erneuerbare Energie staatlich gefördert?] [vɪʁt diː ɛɐˈnɔʏɐbaːʁə enɛʁˈɡiː ˈʃtaːtlɪç ɡəˈfœʁdɐt] – [Ja, die erneuerbare Energie wird über das EEG gefördert.] [jaː diː ɛɐˈnɔʏɐbaːʁə enɛʁˈɡiː vɪʁt ˈyːbɐ das eːeːˈɡeː ɡəˈfœʁdɐt] \nSố nhiều: [Welche erneuerbaren Energien sind am günstigsten?] [ˈvɛlçə ɛɐˈnɔʏɐbaːʁən enɛʁˈɡiːən zɪnt am ˈɡʏnstɪçstən] – [Wind und Sonne sind derzeit die günstigsten erneuerbaren Energien.] [vɪnt ʊnt ˈzɔnə zɪnt ˈdeːɐtsaɪt diː ˈɡʏnstɪçstən ɛɐˈnɔʏɐbaːʁən enɛʁˈɡiːən]	Số ít: "Năng lượng tái tạo có được nhà nước hỗ trợ không?" – "Có, năng lượng tái tạo được hỗ trợ qua Luật Năng lượng Tái tạo (EEG)." \nSố nhiều: "Những loại năng lượng tái tạo nào rẻ nhất?" – "Gió và mặt trời hiện là những năng lượng tái tạo rẻ nhất."
die Öl‑ und Gasindustrie	[øːl ʊnt ˈɡaːsɪndʊstʁiː]	Công nghiệp dầu khí	Số ít: [Steht die Öl‑ und Gasindustrie unter Druck?] [ʃteːt diː øːl ʊnt ˈɡaːsɪndʊstʁiː ˈʊntɐ dʁʊk] – [Ja, die Öl‑ und Gasindustrie steht unter Druck durch Klimaziele.] [jaː diː øːl ʊnt ˈɡaːsɪndʊstʁiː ʃteːt ˈʊntɐ dʁʊk dʊʁç ˈkliːmaˌtsiːlə] \nSố nhiều: [Welche Öl‑ und Gasindustrien expandieren noch?] [ˈvɛlçə øːl ʊnt ˈɡaːsɪndʊstʁiən ɛkspanˈdiːʁən nɔx] – [Die Öl‑ und Gasindustrien im Nahen Osten expandieren noch.] [diː øːl ʊnt ˈɡaːsɪndʊstʁiən ɪm ˈnaːən ˈɔstən ɛkspanˈdiːʁən nɔx]	Số ít: "Ngành dầu khí có đang chịu áp lực không?" – "Có, ngành dầu khí đang chịu áp lực từ các mục tiêu khí hậu." \nSố nhiều: "Những ngành công nghiệp dầu khí nào vẫn đang mở rộng?" – "Các ngành dầu khí ở Trung Đông vẫn đang mở rộng."
die Petrochemie	[petʁoçeˈmiː]	Hóa dầu	Số ít: [Was stellt die Petrochemie her?] [vas ʃtɛlt diː petʁoçeˈmiː ˈheːɐ] – [Die Petrochemie stellt Kunststoffe, Düngemittel und Lösungsmittel her.] [diː petʁoçeˈmiː ʃtɛlt ˈkʊnstʃtɔfə ˈdʏŋəˌmɪtəl ʊnt ˈløːzʊŋsˌmɪtəl ˈheːɐ] \nSố nhiều: [Welche Petrochemien investieren in Recycling?] [ˈvɛlçə petʁoçeˈmiːən ɪnvɛsˈtiːʁən ɪn ʁeˈsaɪklɪŋ] – [Europäische Petrochemien investieren verstärkt in chemisches Recycling.] [ɔʏʁoˈpɛːɪʃə petʁoçeˈmiːən ɪnvɛsˈtiːʁən fɛɐˈʃtɛʁkt ɪn ˈçeːmɪʃəs ʁeˈsaɪklɪŋ]	Số ít: "Hóa dầu sản xuất những gì?" – "Hóa dầu sản xuất nhựa, phân bón và dung môi." \nSố nhiều: "Những ngành hóa dầu nào đang đầu tư vào tái chế?" – "Các ngành hóa dầu châu Âu đang đẩy mạnh đầu tư vào tái chế hóa học."
die Chemieindustrie	[çeˈmiːɪndʊstʁiː]	Công nghiệp hóa chất	Số ít: [Warum ist die Chemieindustrie ein Innovationsmotor?] [vaˈʁʊm ɪst diː çeˈmiːɪndʊstʁiː aɪn ɪnovaˈtsjoːnsˌmoːtoːɐ] – [Die Chemieindustrie entwickelt ständig neue Materialien und Prozesse.] [diː çeˈmiːɪndʊstʁiː ɛntˈvɪkəlt ˈʃtɛndɪç ˈnɔʏə mateˈʁi̯aːliən ʊnt pʁoˈtsɛsə] \nSố nhiều: [Welche Chemieindustrien wachsen in Asien?] [ˈvɛlçə çeˈmiːɪndʊstʁiən ˈvaksən ɪn ˈaːziən] – [Die Feinchemie‑ und die Agrochemieindustrien wachsen in Asien.] [diː ˈfaɪnçeˌmiː ʊnt diː aˈɡʁoçeˌmiːɪndʊstʁiən ˈvaksən ɪn ˈaːziən]	Số ít: "Tại sao công nghiệp hóa chất là động lực đổi mới?" – "Công nghiệp hóa chất không ngừng phát triển vật liệu và quy trình mới." \nSố nhiều: "Những ngành công nghiệp hóa chất nào đang tăng trưởng ở châu Á?" – "Các ngành hóa chất tinh khiết và hóa chất nông nghiệp đang tăng trưởng ở châu Á."
die Pharmaindustrie	[faʁˈmaːɪndʊstʁiː]	Công nghiệp dược phẩm	Số ít: [Ist die Pharmaindustrie stark reguliert?] [ɪst diː faʁˈmaːɪndʊstʁiː ʃtaʁk ʁeɡuˈliːɐt] – [Ja, die Pharmaindustrie unterliegt strengen Zulassungsverfahren.] [jaː diː faʁˈmaːɪndʊstʁiː ʊntɐˈliːkt ˈʃtʁɛŋən ˈtsuːlasʊŋsfɛɐˌfaːʁən] \nSố nhiều: [Welche Pharmaindustrien forschen an Impfstoffen?] [ˈvɛlçə faʁˈmaːɪndʊstʁiən ˈfɔʁʃən an ˈɪmpfʃtɔfən] – [Die US‑amerikanische und die deutsche Pharmaindustrie forschen intensiv an neuen Impfstoffen.] [diː uːɛs aˈmeːʁikaːnɪʃə ʊnt diː ˈdɔʏtʃə faʁˈmaːɪndʊstʁiː ˈfɔʁʃən ɪntɛnˈziːf an ˈnɔʏən ˈɪmpfʃtɔfən]	Số ít: "Ngành dược phẩm có bị quản lý chặt không?" – "Có, ngành dược phẩm phải tuân thủ các quy trình cấp phép nghiêm ngặt." \nSố nhiều: "Những ngành dược phẩm nào đang nghiên cứu vắc‑xin?" – "Ngành dược phẩm Mỹ và Đức đang nghiên cứu sâu về vắc‑xin mới."
die Kunststoffindustrie	[ˈkʊnstʃtɔfɪndʊstʁiː]	Công nghiệp nhựa	Số ít: [Vor welchen Herausforderungen steht die Kunststoffindustrie?] [foːɐ ˈvɛlçən hɛˈʁaʊsfɔʁdəʁʊŋən ʃteːt diː ˈkʊnstʃtɔfɪndʊstʁiː] – [Die Kunststoffindustrie muss Kreislaufwirtschaft und Recycling fördern.] [diː ˈkʊnstʃtɔfɪndʊstʁiː mʊs ˈkʁaɪslaʊfˌvɪʁtʃaft ʊnt ʁeˈsaɪklɪŋ ˈfœʁdɐn] \nSố nhiều: [Welche Kunststoffindustrien setzen auf Biokunststoffe?] [ˈvɛlçə ˈkʊnstʃtɔfɪndʊstʁiən ˈzɛtsən aʊf ˈbiːoˌkʊnstʃtɔfə] – [Einige europäische Kunststoffindustrien setzen vermehrt auf Biokunststoffe.] [ˈaɪnɪɡə ɔʏʁoˈpɛːɪʃə ˈkʊnstʃtɔfɪndʊstʁiən ˈzɛtsən fɛɐˈmeːɐt aʊf ˈbiːoˌkʊnstʃtɔfə]	Số ít: "Ngành nhựa đứng trước những thách thức nào?" – "Ngành nhựa phải thúc đẩy kinh tế tuần hoàn và tái chế." \nSố nhiều: "Những ngành công nghiệp nhựa nào đang tập trung vào nhựa sinh học?" – "Một số ngành nhựa châu Âu đang ngày càng tập trung vào nhựa sinh học."
die Gummiindustrie	[ˈɡʊmiɪndʊstʁiː]	Công nghiệp cao su	Số ít: [Welche Rolle spielt die Gummiindustrie im Automobilbau?] [ˈvɛlçə ˈʁɔlə ʃpiːlt diː ˈɡʊmiɪndʊstʁiː ɪm aʊtomoˈbiːlbaʊ] – [Die Gummiindustrie liefert Reifen, Dichtungen und Schläuche.] [diː ˈɡʊmiɪndʊstʁiː ˈliːfɐt ˈʁaɪfən ˈdɪçtʊŋən ʊnt ˈʃlɔʏçə] \nSố nhiều: [Welche Gummiindustrien verarbeiten Naturkautschuk?] [ˈvɛlçə ˈɡʊmiɪndʊstʁiən fɛɐˈaʁbaɪtən naˈtuːɐkaʊtʃʊk] – [Die Reifen‑ und die Dichtungsindustrie verarbeiten viel Naturkautschuk.] [diː ˈʁaɪfən ʊnt diː ˈdɪçtʊŋsɪndʊstʁiː fɛɐˈaʁbaɪtən fiːl naˈtuːɐkaʊtʃʊk]	Số ít: "Ngành cao su đóng vai trò gì trong công nghiệp ô tô?" – "Ngành cao su cung cấp lốp, gioăng và ống mềm." \nSố nhiều: "Những ngành cao su nào chế biến cao su thiên nhiên?" – "Ngành sản xuất lốp và gioăng chế biến nhiều cao su thiên nhiên."
die Glasindustrie	[ˈɡlaːsɪndʊstʁiː]	Công nghiệp thủy tinh	Số ít: [Ist die Glasindustrie energieintensiv?] [ɪst diː ˈɡlaːsɪndʊstʁiː enɛʁˈɡiːʔɪntɛnziːf] – [Ja, das Schmelzen von Glas erfordert hohe Temperaturen.] [jaː das ˈʃmɛltsən fɔn ɡlaːs ɛɐˈfɔʁdɐt ˈhoːə tɛmpəʁaˈtuːʁən] \nSố nhiều: [Welche Glasindustrien produzieren Spezialglas?] [ˈvɛlçə ˈɡlaːsɪndʊstʁiən pʁoduˈtsiːʁən ˈʃpeːtsi̯aːlˌɡlaːs] – [Die optische und die Laborglasindustrie produzieren Spezialglas.] [diː ˈɔptɪʃə ʊnt diː laˈboːɐɡlaːsɪndʊstʁiː pʁoduˈtsiːʁən ˈʃpeːtsi̯aːlˌɡlaːs]	Số ít: "Ngành thủy tinh có tiêu tốn nhiều năng lượng không?" – "Có, việc nấu chảy thủy tinh đòi hỏi nhiệt độ cao." \nSố nhiều: "Những ngành thủy tinh nào sản xuất thủy tinh đặc biệt?" – "Ngành thủy tinh quang học và thủy tinh phòng thí nghiệm sản xuất thủy tinh đặc biệt."
die Keramikindustrie	[keˈʁaːmɪkɪndʊstʁiː]	Công nghiệp gốm sứ	Số ít: [Welche Produkte liefert die Keramikindustrie?] [ˈvɛlçə pʁoˈdʊktə ˈliːfɐt diː keˈʁaːmɪkɪndʊstʁiː] – [Die Keramikindustrie liefert Fliesen, Sanitärkeramik und Technische Keramik.] [diː keˈʁaːmɪkɪndʊstʁiː ˈliːfɐt ˈfliːzən zaniˈtɛːɐkeˌʁaːmɪk ʊnt ˈtɛçnɪʃə keˈʁaːmɪk] \nSố nhiều: [Welche Keramikindustrien wachsen?] [ˈvɛlçə keˈʁaːmɪkɪndʊstʁiən ˈvaksən] – [Die Technische Keramik‑ und die Medizinkeramikindustrien wachsen.] [diː ˈtɛçnɪʃə keˈʁaːmɪk ʊnt diː meˈdiːtsiːnkeˌʁaːmɪkɪndʊstʁiən ˈvaksən]	Số ít: "Ngành gốm sứ cung cấp những sản phẩm gì?" – "Ngành gốm sứ cung cấp gạch ốp lát, sứ vệ sinh và gốm kỹ thuật." \nSố nhiều: "Những ngành gốm sứ nào đang tăng trưởng?" – "Các ngành gốm kỹ thuật và gốm y tế đang tăng trưởng."
die Zementindustrie	[tseˈmɛntɪndʊstʁiː]	Công nghiệp xi măng	Số ít: [Wie kann die Zementindustrie CO₂ reduzieren?] [viː kan diː tseˈmɛntɪndʊstʁiː tseːoːˈtsvaɪ ʁeduˈtsiːʁən] – [Die Zementindustrie kann alternative Rohstoffe einsetzen und CCS nutzen.] [diː tseˈmɛntɪndʊstʁiː kan altɐnaˈtiːvə ˈʁoːʃtɔfə ˈaɪnzɛtsən ʊnt tseːtseːˈɛs ˈnʊtsən] \nSố nhiều: [Welche Zementindustrien haben moderne Anlagen?] [ˈvɛlçə tseˈmɛntɪndʊstʁiən ˈhaːbən moˈdɛʁnə ˈanlaːɡən] – [Die deutschen und schweizerischen Zementindustrien haben moderne Anlagen.] [diː ˈdɔʏtʃən ʊnt ˈʃvaɪtsəʁɪʃən tseˈmɛntɪndʊstʁiən ˈhaːbən moˈdɛʁnə ˈanlaːɡən]	Số ít: "Ngành xi măng có thể giảm CO₂ như thế nào?" – "Ngành xi măng có thể sử dụng nguyên liệu thay thế và dùng CCS." \nSố nhiều: "Những ngành xi măng nào có nhà máy hiện đại?" – "Các ngành xi măng Đức và Thụy Sĩ có nhà máy hiện đại."
die Baustoffindustrie	[ˈbaʊʃtɔfɪndʊstʁiː]	Công nghiệp vật liệu xây dựng	Số ít: [Welche Materialien produziert die Baustoffindustrie?] [ˈvɛlçə mateˈʁi̯aːliən pʁoduˈtsiːɐt diː ˈbaʊʃtɔfɪndʊstʁiː] – [Die Baustoffindustrie produziert Zement, Ziegel und Dämmstoffe.] [diː ˈbaʊʃtɔfɪndʊstʁiː pʁoduˈtsiːɐt tseˈmɛnt ˈtsiːɡəl ʊnt ˈdɛmʃtɔfə] \nSố nhiều: [Welche Baustoffindustrien setzen auf nachhaltige Produkte?] [ˈvɛlçə ˈbaʊʃtɔfɪndʊstʁiən ˈzɛtsən aʊf ˈnaːxhaltɪɡə pʁoˈdʊktə] – [Viele Baustoffindustrien entwickeln recycelbare Dämmstoffe.] [ˈfiːlə ˈbaʊʃtɔfɪndʊstʁiən ɛntˈvɪkəln ʁeˈsaɪkl̩baːʁə ˈdɛmʃtɔfə]	Số ít: "Ngành vật liệu xây dựng sản xuất những vật liệu nào?" – "Ngành vật liệu xây dựng sản xuất xi măng, gạch và vật liệu cách nhiệt." \nSố nhiều: "Những ngành vật liệu xây dựng nào đang tập trung vào sản phẩm bền vững?" – "Nhiều ngành vật liệu xây dựng đang phát triển vật liệu cách nhiệt có thể tái chế."
der Bergbau	[ˈbɛʁkbaʊ]	Khai thác mỏ	Số ít: [Ist der Bergbau in Deutschland noch aktiv?] [ɪst deːɐ ˈbɛʁkbaʊ ɪn ˈdɔʏtʃlant nɔx akˈtiːf] – [Steinkohlebergbau wurde eingestellt, aber Salz‑ und Kiesbergbau sind noch aktiv.] [ˈʃtaɪnkoːləˌbɛʁkbaʊ ˈvʊʁdə ˈaɪnɡəʃtɛlt ˈaːbɐ zalts ʊnt ˈkiːsˌbɛʁkbaʊ zɪnt nɔx akˈtiːf] \nSố nhiều: [Welche Bergbaue produzieren Batterierohstoffe?] [ˈvɛlçə ˈbɛʁkˌbaʊə pʁoduˈtsiːʁən batəˈʁiːˌʁoːʃtɔfə] – [Lithium‑ und Kobaltbergbaue in Südamerika und Afrika produzieren Batterierohstoffe.] [ˈliːtiʊm ʊnt ˈkoːbaltˌbɛʁkbaʊə ɪn zyːtʔaˈmeːʁika ʊnt ˈaːfʁika pʁoduˈtsiːʁən batəˈʁiːˌʁoːʃtɔfə]	Số ít: "Ngành khai thác mỏ ở Đức còn hoạt động không?" – "Khai thác than đá đã ngừng, nhưng khai thác muối và sỏi vẫn còn hoạt động." \nSố nhiều: "Những mỏ nào sản xuất nguyên liệu cho pin?" – "Các mỏ lithium và cobalt ở Nam Mỹ và châu Phi sản xuất nguyên liệu cho pin."
der Tagebau	[ˈtaːɡəbaʊ]	Khai thác lộ thiên	Số ít: [Wie tief ist der Tagebau?] [viː tiːf ɪst deːɐ ˈtaːɡəbaʊ] – [Der Tagebau ist über 200 Meter tief.] [deːɐ ˈtaːɡəbaʊ ɪst ˈyːbɐ ˈtsvaɪhʊndɐt ˈmeːtɐ tiːf] \nSố nhiều: [Welche Tagebaue werden rekultiviert?] [ˈvɛlçə ˈtaːɡəˌbaʊə ˈvɛʁdən ʁekʊltiˈviːɐt] – [Braunkohlentagebaue in der Lausitz werden rekultiviert.] [ˈbʁaʊnkoːlənˌtaːɡəbaʊə ɪn deːɐ ˈlaʊzɪts ˈvɛʁdən ʁekʊltiˈviːɐt]	Số ít: "Mỏ lộ thiên sâu bao nhiêu?" – "Mỏ lộ thiên sâu hơn 200 mét." \nSố nhiều: "Những mỏ lộ thiên nào đang được phục hồi?" – "Các mỏ than nâu lộ thiên ở vùng Lausitz đang được phục hồi."
der Untertagebau	[ˈʊntɐtaːɡəbaʊ]	Khai thác hầm lò	Số ít: [Ist der Untertagebau gefährlicher?] [ɪst deːɐ ˈʊntɐtaːɡəbaʊ ɡəˈfɛːɐlɪçɐ] – [Der Untertagebau erfordert strenge Sicherheitsmaßnahmen.] [deːɐ ˈʊntɐtaːɡəbaʊ ɛɐˈfɔʁdɐt ˈʃtʁɛŋə ˈzɪçɐhaɪtsˌmaːsnaːmən] \nSố nhiều: [Welche Untertagebaue fördern Gold?] [ˈvɛlçə ˈʊntɐtaːɡəˌbaʊə ˈfœʁdɐn ɡɔlt] – [Untertagebaue in Südafrika und Kanada fördern Gold.] [ˈʊntɐtaːɡəˌbaʊə ɪn zyːtˈaːfʁika ʊnt ˈkanada ˈfœʁdɐn ɡɔlt]	Số ít: "Khai thác hầm lò có nguy hiểm hơn không?" – "Khai thác hầm lò đòi hỏi các biện pháp an toàn nghiêm ngặt." \nSố nhiều: "Những mỏ hầm lò nào khai thác vàng?" – "Các mỏ hầm lò ở Nam Phi và Canada khai thác vàng."
der Rohstoff	[ˈʁoːʃtɔf]	Nguyên liệu thô	Số ít: [Welcher Rohstoff ist besonders knapp?] [ˈvɛlçɐ ˈʁoːʃtɔf ɪst bəˈzɔndɐs knap] – [Lithium ist ein besonders knapper Rohstoff.] [ˈliːtiʊm ɪst aɪn bəˈzɔndɐs ˈknapɐ ˈʁoːʃtɔf] \nSố nhiều (die Rohstoffe): [Welche Rohstoffe werden recycelt?] [ˈvɛlçə ˈʁoːʃtɔfə ˈvɛʁdən ʁeˈsaɪkəlt] – [Metalle wie Aluminium und Kupfer werden recycelt.] [meˈtalə viː aluˈmiːniʊm ʊnt ˈkʊpfɐ ˈvɛʁdən ʁeˈsaɪkəlt]	Số ít: "Nguyên liệu thô nào đặc biệt khan hiếm?" – "Lithium là một nguyên liệu thô đặc biệt khan hiếm." \nSố nhiều: "Những nguyên liệu thô nào được tái chế?" – "Các kim loại như nhôm và đồng được tái chế."
die Rohstoffverarbeitung	[ˈʁoːʃtɔffɛɐˌaʁbaɪtʊŋ]	Chế biến nguyên liệu	Số ít: [Wo findet die Rohstoffverarbeitung statt?] [voː ˈfɪndət diː ˈʁoːʃtɔffɛɐˌaʁbaɪtʊŋ ʃtat] – [Die Rohstoffverarbeitung findet in den Erzeugerländern statt.] [diː ˈʁoːʃtɔffɛɐˌaʁbaɪtʊŋ ˈfɪndət ɪn deːn ɛɐˈtsɔʏɡɐˌlɛndɐn ʃtat] \nSố nhiều: [Welche Rohstoffverarbeitungen sind wasserintensiv?] [ˈvɛlçə ˈʁoːʃtɔffɛɐˌaʁbaɪtʊŋən zɪnt ˈvasɐʔɪntɛnˌziːf] – [Die Rohstoffverarbeitungen von Lithium und Kupfer sind wasserintensiv.] [diː ˈʁoːʃtɔffɛɐˌaʁbaɪtʊŋən fɔn ˈliːtiʊm ʊnt ˈkʊpfɐ zɪnt ˈvasɐʔɪntɛnˌziːf]	Số ít: "Việc chế biến nguyên liệu diễn ra ở đâu?" – "Việc chế biến nguyên liệu diễn ra ở các nước sản xuất." \nSố nhiều: "Những công đoạn chế biến nguyên liệu nào tiêu tốn nhiều nước?" – "Chế biến lithium và đồng tiêu tốn nhiều nước."
der Werkstoff	[ˈvɛʁkʃtɔf]	Vật liệu công nghiệp	Số ít: [Welcher Werkstoff ist für den Leichtbau geeignet?] [ˈvɛlçɐ ˈvɛʁkʃtɔf ɪst fyːɐ deːn ˈlaɪçtbaʊ ɡəˈʔaɪɡnət] – [Kohlefaserverstärkter Kunststoff ist für den Leichtbau geeignet.] [ˈkoːləfaːzɐfɛɐˌʃtɛʁktɐ ˈkʊnstʃtɔf ɪst fyːɐ deːn ˈlaɪçtbaʊ ɡəˈʔaɪɡnət] \nSố nhiều (die Werkstoffe): [Welche Werkstoffe sind recycelbar?] [ˈvɛlçə ˈvɛʁkʃtɔfə zɪnt ʁeˈsaɪkl̩baːɐ] – [Stahl und Aluminium sind gut recycelbar.] [ʃtaːl ʊnt aluˈmiːniʊm zɪnt ɡuːt ʁeˈsaɪkl̩baːɐ]	Số ít: "Vật liệu công nghiệp nào phù hợp cho kết cấu nhẹ?" – "Nhựa gia cường sợi carbon phù hợp cho kết cấu nhẹ." \nSố nhiều: "Những vật liệu công nghiệp nào có thể tái chế?" – "Thép và nhôm có thể tái chế tốt."
